date,location,cases_total,cases_active,cases_recovered,deaths
2020/05/21,Abbottsfield,6,0.0,6.0,0.0
2020/07/06,Abbottsfield,7,1.0,6.0,0.0
2020/03/31,Abbottsfield,0,,,
2020/06/26,Abbottsfield,6,1.0,5.0,0.0
2020/03/27,Abbottsfield,0,,,
2020/05/12,Abbottsfield,6,0.0,6.0,0.0
2020/04/29,Abbottsfield,6,0.0,6.0,0.0
2020/06/15,Abbottsfield,5,1.0,4.0,0.0
2020/06/02,Abbottsfield,6,0.0,6.0,0.0
2020/04/11,Abbottsfield,5,3.0,2.0,0.0
2020/03/24,Abbottsfield,0,,,
2020/07/09,Abbottsfield,7,0.0,7.0,0.0
2020/05/09,Abbottsfield,6,0.0,6.0,0.0
2020/05/22,Abbottsfield,6,0.0,6.0,0.0
2020/07/23,Abbottsfield,13,3.0,9.0,1.0
2020/07/27,Abbottsfield,14,2.0,11.0,1.0
2020/08/11,Abbottsfield,18,4.0,13.0,1.0
2020/06/18,Abbottsfield,5,1.0,4.0,0.0
2020/06/06,Abbottsfield,6,0.0,6.0,0.0
2020/03/29,Abbottsfield,0,,,
2020/07/20,Abbottsfield,13,5.0,7.0,1.0
2020/08/05,Abbottsfield,17,4.0,12.0,1.0
2020/03/20,Abbottsfield,0,,,
2020/07/29,Abbottsfield,14,2.0,11.0,1.0
2020/04/17,Abbottsfield,6,3.0,3.0,0.0
2020/08/09,Abbottsfield,17,3.0,13.0,1.0
2020/05/03,Abbottsfield,6,0.0,6.0,0.0
2020/05/23,Abbottsfield,6,0.0,6.0,0.0
2020/06/03,Abbottsfield,6,0.0,6.0,0.0
2020/06/01,Abbottsfield,6,0.0,6.0,0.0
2020/06/19,Abbottsfield,5,1.0,4.0,0.0
2020/05/01,Abbottsfield,6,0.0,6.0,0.0
2020/06/25,Abbottsfield,5,0.0,5.0,0.0
2020/04/03,Abbottsfield,2,,,
2020/04/13,Abbottsfield,5,3.0,2.0,0.0
2020/06/28,Abbottsfield,6,1.0,5.0,0.0
2020/06/11,Abbottsfield,4,0.0,4.0,0.0
2020/06/17,Abbottsfield,5,1.0,4.0,0.0
2020/07/02,Abbottsfield,7,2.0,5.0,0.0
2020/03/26,Abbottsfield,0,,,
2020/08/04,Abbottsfield,16,3.0,12.0,1.0
2020/05/18,Abbottsfield,6,0.0,6.0,0.0
2021/03/21,Abbottsfield,602,9.0,583.0,10.0
