date,location,cases_total,cases_active,cases_recovered,deaths
2020/10/20,Centre North,327,39.0,247.0,41.0
2020/06/05,Centre North,141,15.0,98.0,28.0
2021/01/30,Centre North,1282,75.0,1119.0,88.0
2021/02/01,Centre North,1294,64.0,1140.0,90.0
2020/09/10,Centre North,259,15.0,204.0,40.0
2021/04/09,Centre North,1639,168.0,1374.0,97.0
2020/05/03,Centre North,84,45.0,33.0,6.0
2020/09/03,Centre North,247,14.0,193.0,40.0
2020/12/14,Centre North,870,188.0,625.0,57.0
2021/02/15,Centre North,1344,65.0,1188.0,91.0
2020/10/18,Centre North,314,30.0,244.0,40.0
2020/07/08,Centre North,188,9.0,138.0,41.0
2021/05/28,Centre North,2130,46.0,1986.0,98.0
2021/03/13,Centre North,1391,40.0,1254.0,97.0
2020/06/13,Centre North,151,13.0,104.0,34.0
2021/05/21,Centre North,2110,86.0,1927.0,97.0
2020/12/15,Centre North,885,182.0,644.0,59.0
2020/11/27,Centre North,605,132.0,420.0,53.0
2020/04/24,Centre North,55,33.0,18.0,4.0
2020/10/19,Centre North,322,36.0,246.0,40.0
2020/12/16,Centre North,900,178.0,662.0,60.0
2020/03/24,Centre North,4,,,
2020/04/09,Centre North,20,11.0,8.0,1.0
2020/11/26,Centre North,586,123.0,410.0,53.0
2020/05/20,Centre North,124,37.0,68.0,19.0
2020/11/11,Centre North,447,86.0,313.0,48.0
2020/05/11,Centre North,101,31.0,57.0,13.0
2020/06/03,Centre North,138,14.0,97.0,27.0
2020/08/25,Centre North,234,4.0,190.0,40.0
2021/04/28,Centre North,1906,189.0,1620.0,97.0
2020/07/07,Centre North,187,9.0,137.0,41.0
2021/03/12,Centre North,1387,40.0,1250.0,97.0
2020/06/06,Centre North,141,15.0,98.0,28.0
2020/09/27,Centre North,278,12.0,226.0,40.0
2020/07/23,Centre North,210,18.0,151.0,41.0
2021/03/28,Centre North,1483,89.0,1297.0,97.0
2020/08/23,Centre North,234,5.0,189.0,40.0
2021/05/04,Centre North,1981,168.0,1716.0,97.0
2020/05/19,Centre North,124,39.0,66.0,19.0
2021/03/27,Centre North,1476,84.0,1295.0,97.0
2020/06/10,Centre North,149,13.0,102.0,34.0
2020/12/11,Centre North,826,188.0,581.0,57.0
2021/05/27,Centre North,2129,52.0,1979.0,98.0
2020/05/18,Centre North,123,39.0,65.0,19.0
