num,name,local_health_area,zone,active_cases,recovered_cases,total_cases,deaths,dose_1,dose_2,total_dose_administered,number_of_total_outbreaks,outbreak_severity,population,population_region,population_ratio,age_0_14,age_15_64,age_65_84,age_85,male,female,avg_household_size,non_immigrants,immigrants,recent_immigrants,non_pr,aboriginal,no_certificate,high_school,post_secondary,number_of_population_over_15,labour_participation_rate,employement_rate,driver_passenger,public_transit,walked_bike,low_income
64,STEINHAUER (5470) ( 3.1%),Duggan,Edmonton,3,98,105,4,1363,260,1624,0,safe,113,37480,0.054962647,350,1360,320,30,965,1090,2.9,1370,660,150,30,55,165,410,1130.0,1705.0,67.2,60.7,735,150.0,60,180.0
65,SWEET GRASS (5490) ( 4.9%),Duggan,Edmonton,4,129,138,5,1804,344,2148,1,mild,198,37480,0.072705443,515,1870,330,10,1285,1440,2.9,1760,855,220,105,80,250,530,1435.0,2205.0,70.3,65.1,995,295.0,35,435.0
66,UNIVERSITY OF ALBERTA (5520) ( 13.2%),Duggan,Edmonton,0,5,6,0,73,14,87,0,safe,0,37480,0.002934899,0,110,0,0,30,75,0.0,55,0,0,50,10,0,55,55.0,110.0,42.9,38.1,10,10.0,15,
67,UNIVERSITY OF ALBERTA FARM (5530) ( 11.4%),Duggan,Edmonton,1,18,19,1,245,47,292,0,safe,4,37480,0.009871932,30,295,40,0,190,180,2.5,255,75,15,35,15,55,75,205.0,335.0,83.6,76.1,170,55.0,10,20.0
68,ALBERTA AVENUE (1010) ( 8.5%),Eastwood,Edmonton,12,461,488,14,4479,682,5161,1,mild,801,57240,0.118273934,930,5140,625,65,3445,3325,2.8,4800,1830,460,140,700,1505,1625,2705.0,5835.0,69.5,61.3,2480,690.0,215,1120.0
69,BOYLE STREET (1020) ( 11.6%),Eastwood,Edmonton,9,344,363,11,3338,508,3846,1,mild,445,57240,0.088137666,460,3820,595,165,2710,2330,2.4,2985,1805,430,250,515,1090,1255,2235.0,4580.0,62.3,55.0,1500,580.0,255,1485.0
70,CENTRAL MCDOUGALL (1030) ( 9.0%),Eastwood,Edmonton,8,308,325,10,2987,455,3442,1,mild,356,57240,0.078878407,565,3635,280,30,2420,2100,2.7,2335,1960,875,215,420,985,1115,1840.0,3950.0,67.9,59.1,1150,690.0,405,1290.0
71,CROMDALE (1070) ( 8.8%),Eastwood,Edmonton,3,130,137,4,1260,192,1452,0,safe,63,57240,0.033280922,215,1490,170,30,985,915,2.4,1195,620,245,85,220,335,395,955.0,1690.0,68.5,62.6,720,265.0,40,385.0
72,DELTON (1080) ( 5.4%),Eastwood,Edmonton,4,146,155,5,1419,216,1635,0,safe,80,57240,0.037473795,290,1605,225,30,1155,995,2.8,1650,485,80,20,210,495,540,830.0,1860.0,68.8,62.1,905,145.0,20,230.0
73,DOWNTOWN (1090) ( 8.6%),Eastwood,Edmonton,19,734,776,23,7129,1085,8214,1,mild,2028,57240,0.188242488,305,9680,715,70,5685,5085,2.2,6590,2655,960,1530,475,495,2435,7535.0,10470.0,78.3,73.1,3095,1515.0,2640,2235.0
74,EASTWOOD (1100) ( 13.3%),Eastwood,Edmonton,7,280,296,9,2716,413,3129,1,mild,294,57240,0.071715584,650,2975,425,50,2185,1920,2.8,2895,1130,285,80,660,1050,1080,1325.0,3455.0,60.3,53.1,1150,500.0,75,1165.0
75,ELMWOOD PARK (1130) ( 12.3%),Eastwood,Edmonton,2,81,85,3,784,119,903,0,safe,25,57240,0.020702306,190,870,110,15,650,530,2.8,875,270,55,35,215,315,340,345.0,995.0,69.2,62.1,440,95.0,10,215.0
76,MCCAULEY (1140) ( 6.8%),Eastwood,Edmonton,7,253,268,8,2461,375,2836,0,safe,242,57240,0.064989518,475,2815,375,50,2045,1670,2.9,2135,1470,290,115,455,1150,760,1325.0,3240.0,57.3,48.9,860,365.0,260,1130.0
77,PARKDALE (1160) ( 7.6%),Eastwood,Edmonton,7,249,263,8,2418,368,2786,0,safe,233,57240,0.063853948,575,2695,335,50,1955,1700,2.8,2545,1050,240,60,525,830,840,1405.0,3085.0,67.4,58.2,1195,365.0,85,685.0
78,RIVERDALE (1210) ( 3.9%),Eastwood,Edmonton,4,138,146,4,1340,204,1544,0,safe,72,57240,0.035377358,275,1480,265,10,940,1085,2.6,1710,305,55,15,130,130,345,1280.0,1750.0,75.2,71.2,800,110.0,210,105.0
79,ROSSDALE (1220) ( 4.6%),Eastwood,Edmonton,2,62,65,2,599,91,690,0,safe,14,57240,0.015810622,45,765,80,10,515,390,2.3,725,150,30,35,35,60,150,650.0,855.0,83.6,77.2,415,90.0,100,85.0
80,VIRGINIA PARK (1240) ( 3.0%),Eastwood,Edmonton,1,43,46,1,420,64,484,0,safe,7,57240,0.011093641,55,385,155,45,270,365,2.7,555,80,0,0,45,115,135,335.0,580.0,62.4,57.3,215,60.0,35,115.0
81,BELLEVUE (2060) ( 4.4%),Eastwood,Edmonton,2,74,78,2,715,109,823,0,safe,20,57240,0.018867925,140,770,140,25,515,565,2.7,900,140,10,30,75,110,210,610.0,935.0,72.2,65.8,440,90.0,30,95.0
82,HIGHLANDS (2330) ( 4.5%),Eastwood,Edmonton,5,179,190,6,1743,265,2009,0,safe,121,57240,0.046034242,350,1875,350,55,1340,1290,2.6,2260,335,55,35,150,275,545,1465.0,2285.0,73.1,68.7,1205,175.0,55,145.0
83,MONTROSE (2550) ( 6.2%),Eastwood,Edmonton,6,215,228,7,2091,318,2409,0,safe,174,57240,0.05520615,460,2315,335,50,1595,1565,2.9,2410,725,220,25,385,715,850,1140.0,2700.0,65.0,56.9,1155,265.0,50,550.0
84,NEWTON (2560) ( 5.5%),Eastwood,Edmonton,5,203,215,6,1972,300,2272,0,safe,155,57240,0.052061495,460,2095,395,30,1555,1430,2.7,2255,695,120,35,310,655,765,1100.0,2525.0,65.9,58.2,1150,220.0,20,275.0
85,CRESTWOOD (3140) ( 6.5%),Jasper Place,Edmonton,2,64,70,3,655,129,783,0,safe,59,93155,0.025065751,385,1495,385,70,1105,1230,2.9,1905,405,20,25,70,225,395,1325.0,1950.0,67.3,65.0,1010,75.0,65,145.0
86,LAURIER HEIGHTS (3270) ( 4.1%),Jasper Place,Edmonton,2,72,79,4,739,145,884,0,safe,75,93155,0.02828619,415,1675,340,210,1280,1350,2.9,2295,320,20,25,65,190,445,1585.0,2220.0,66.2,62.8,1095,60.0,65,115.0
87,PARKVIEW (3330) ( 2.2%),Jasper Place,Edmonton,3,90,98,5,925,182,1107,0,safe,117,93155,0.03542483,565,2160,505,65,1625,1680,2.9,2845,440,60,15,130,255,575,1905.0,2730.0,69.0,65.0,1385,125.0,75,160.0
88,ALDERGROVE (4020) ( 4.5%),Jasper Place,Edmonton,5,150,164,8,1538,302,1840,0,safe,323,93155,0.058880361,970,3995,475,40,2680,2805,3.0,3760,1600,505,120,475,760,1390,2365.0,4510.0,73.3,66.3,2170,520.0,120,615.0
89,BELMEAD (4040) ( 4.4%),Jasper Place,Edmonton,5,131,143,7,1342,264,1605,0,safe,246,93155,0.051366003,925,3260,555,55,2330,2460,3.1,2935,1695,330,160,250,655,1035,2180.0,3870.0,70.2,63.1,1805,430.0,100,595.0
90,DECHENE (4110) ( 4.5%),Jasper Place,Edmonton,2,45,49,2,460,90,550,0,safe,29,93155,0.017605067,220,1105,290,25,795,840,2.9,1160,470,45,10,45,170,400,850.0,1420.0,68.0,66.2,735,80.0,20,20.0
